source,collection_date,company_name,ticker,cik,country,registry_url,entity_type,status,company_number,company_type,incorporation_date,sic_codes,registered_office_address,corporation_number,corporation_type,registered_office,acn,abn,registration_date,principal_place_of_business,registration_number,legal_form,business_purpose,euid,entity_number,formation_date,registered_agent,cin,company_category,company_sub_category,date_of_incorporation,roc,entity_id,state,registry_id,data_source,revenue_range
SEC_EDGAR_ENHANCED,2025-06-15T14:37:50.288877,ADOBE INC.,ADBE,0000796343,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:50.389431,"Uber Technologies, Inc",UBER,0001543151,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:50.489885,Blackstone Inc.,BX,0001393818,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:50.590253,PROGRESSIVE CORP/OH/,PGR,0000080661,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:50.690588,CATERPILLAR INC,CAT,0000018230,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:50.791157,TEXAS INSTRUMENTS INC,TXN,0000097476,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:50.891551,MITSUBISHI UFJ FINANCIAL GROUP INC,MUFG,0000067088,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:50.991992,Sony Group Corp,SONY,0000313838,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:51.092666,SCHWAB CHARLES CORP,SCHW,0000316709,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:51.193178,QUALCOMM INC/DE,QCOM,0000804328,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:51.293926,S&P Global Inc.,SPGI,0000064040,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:51.394834,UNILEVER PLC,UL,0000217410,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:51.495701,BOEING CO,BA,0000012927,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:51.596341,BOSTON SCIENTIFIC CORP,BSX,0000885725,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:51.697197,AMGEN INC,AMGN,0000318154,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:51.797529,THERMO FISHER SCIENTIFIC INC.,TMO,0000097745,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:51.897907,"BlackRock, Inc.",BLK,0002012383,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:51.998327,STRYKER CORP,SYK,0000310764,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:52.099070,HONEYWELL INTERNATIONAL INC,HON,0000773840,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:52.199748,NEXTERA ENERGY INC,NEE,0000753308,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:52.300099,TJX COMPANIES INC /DE/,TJX,0000109198,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:52.400724,CITIGROUP INC,C,0000831001,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:52.501209,DEERE & CO,DE,0000315189,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:52.602207,PDD Holdings Inc.,PDD,0001737806,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:52.702939,"GILEAD SCIENCES, INC.",GILD,0000882095,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:52.803659,Anheuser-Busch InBev SA/NV,BUD,0001668717,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:52.904206,SHOPIFY INC.,SHOP,0001594805,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:53.005076,DANAHER CORP /DE/,DHR,0000313616,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:53.105782,Spotify Technology S.A.,SPOT,0001639920,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:53.206411,PFIZER INC,PFE,0000078003,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:53.307261,UNION PACIFIC CORP,UNP,0000100885,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:53.407796,AUTOMATIC DATA PROCESSING INC,ADP,0000008670,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:53.508682,ARM HOLDINGS PLC /UK,ARM,0001973239,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:53.609452,MERCADOLIBRE INC,MELI,0001099590,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:53.710203,TotalEnergies SE,TTE,0000879764,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:53.810902,COMCAST CORP,CMCSA,0001166691,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:53.911496,AppLovin Corp,APP,0001751008,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:54.012735,GE Vernova Inc.,GEV,0001996810,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:54.114129,Palo Alto Networks Inc,PANW,0001327567,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:54.214664,HITACHI LTD,HTHIY,0000047710,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:54.315242,LOWES COMPANIES INC,LOW,0000060667,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:54.415776,Eaton Corp plc,ETN,0001551182,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:54.516421,APPLIED MATERIALS INC /DE,AMAT,0000006951,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:54.617077,BHP Group Ltd,BHP,0000811809,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:54.717403,ICICI BANK LTD,IBN,0001103838,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:54.818042,CAPITAL ONE FINANCIAL CORP,COF,0000927628,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:54.918766,Sanofi,SNY,0001121404,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:55.019497,TORONTO DOMINION BANK,TD,0000947263,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:55.120007,Chubb Ltd,CB,0000896159,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC_EDGAR_ENHANCED,2025-06-15T14:37:55.224733,"Banco Santander, S.A.",SAN,0000891478,USA,https://www.sec.gov/edgar,Public Company,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
